gameweek,roster_id,pp_points,points,manager,opponent_id,pp_points_opponent,points_opponent,pp_win,win,league
1,1,155.6,117.8,MajorNC,5,140.78,116.3,1.0,1.0,UK Dynasty League 
1,2,106.4,71.9,Tomcoulton10,11,124.33999999999999,80.98,0.0,0.0,UK Dynasty League 
1,3,126.64000000000001,75.48,splangtree,8,113.4,105.7,1.0,0.0,UK Dynasty League 
1,4,110.32000000000002,99.32,benturvill61,12,118.58000000000001,85.24,0.0,1.0,UK Dynasty League 
1,5,140.78,116.3,mikepearson,1,155.6,117.8,0.0,0.0,UK Dynasty League 
1,6,104.36,100.46000000000001,jhh82,9,148.17999999999998,124.88,0.0,0.0,UK Dynasty League 
1,7,113.3,99.8,Pindeco,10,131.08,96.38,0.0,1.0,UK Dynasty League 
1,8,113.4,105.7,0llie,3,126.64000000000001,75.48,0.0,1.0,UK Dynasty League 
1,9,148.17999999999998,124.88,DanCoulton,6,104.36,100.46000000000001,1.0,1.0,UK Dynasty League 
1,10,131.08,96.38,Dominichudson1986,7,113.3,99.8,1.0,0.0,UK Dynasty League 
1,11,124.33999999999999,80.98,Bolmer,2,106.4,71.9,1.0,1.0,UK Dynasty League 
1,12,118.58000000000001,85.24,CantBuyABucket,4,110.32000000000002,99.32,1.0,0.0,UK Dynasty League 
2,1,160.04000000000002,124.3,MajorNC,11,135.34,127.24,1.0,0.0,UK Dynasty League 
2,2,151.6,111.8,Tomcoulton10,5,116.82,84.89999999999999,1.0,1.0,UK Dynasty League 
2,3,142.0,115.0,splangtree,9,204.62000000000003,174.62,0.0,0.0,UK Dynasty League 
2,4,147.5,112.26,benturvill61,7,126.69999999999999,112.8,1.0,0.0,UK Dynasty League 
2,5,116.82,84.89999999999999,mikepearson,2,151.6,111.8,0.0,0.0,UK Dynasty League 
2,6,142.84,121.17999999999999,jhh82,8,167.01999999999998,143.01999999999998,0.0,0.0,UK Dynasty League 
2,7,126.69999999999999,112.8,Pindeco,4,147.5,112.26,0.0,1.0,UK Dynasty League 
2,8,167.01999999999998,143.01999999999998,0llie,6,142.84,121.17999999999999,1.0,1.0,UK Dynasty League 
2,9,204.62000000000003,174.62,DanCoulton,3,142.0,115.0,1.0,1.0,UK Dynasty League 
2,10,131.68,98.18,Dominichudson1986,12,170.5,131.85999999999999,0.0,0.0,UK Dynasty League 
2,11,135.34,127.24,Bolmer,1,160.04000000000002,124.3,0.0,1.0,UK Dynasty League 
2,12,170.5,131.85999999999999,CantBuyABucket,10,131.68,98.18,1.0,1.0,UK Dynasty League 
3,1,159.54,143.74,MajorNC,2,114.4,98.6,1.0,1.0,UK Dynasty League 
3,2,114.4,98.6,Tomcoulton10,1,159.54,143.74,0.0,0.0,UK Dynasty League 
3,3,130.18,96.38,splangtree,6,127.10000000000002,112.0,1.0,0.0,UK Dynasty League 
3,4,157.3,141.16,benturvill61,10,148.62,125.62,1.0,1.0,UK Dynasty League 
3,5,140.82,118.02,mikepearson,11,99.74000000000001,78.24,1.0,1.0,UK Dynasty League 
3,6,127.10000000000002,112.0,jhh82,3,130.18,96.38,0.0,1.0,UK Dynasty League 
3,7,122.66,122.26,Pindeco,12,132.93999999999997,96.34,0.0,1.0,UK Dynasty League 
3,8,166.78,154.18,0llie,9,238.28,188.38,0.0,0.0,UK Dynasty League 
3,9,238.28,188.38,DanCoulton,8,166.78,154.18,1.0,1.0,UK Dynasty League 
3,10,148.62,125.62,Dominichudson1986,4,157.3,141.16,0.0,0.0,UK Dynasty League 
3,11,99.74000000000001,78.24,Bolmer,5,140.82,118.02,0.0,0.0,UK Dynasty League 
3,12,132.93999999999997,96.34,CantBuyABucket,7,122.66,122.26,1.0,0.0,UK Dynasty League 
