season,week,division,optimal_score,lineup_efficiency,team_score,opponent_score,optimal_opponent_score,result,opponent_id,allplay_wins,allplay_games,allplay_pct,roster_id,optimal_player_id,optimal_player_score,gameweek,matchup_id,manager,points,points_opponent,win,all_play,pp_points,pp_points_opponent,pp_win,selected_pts,selected_win,selected_all_play,selected_pp,selected_pp_opponent,selected_pp_win,nxt_wk_win
1,2,2,108.52,0.755,81.99,88.07,111.24,L,4,5.0,11,0.455,3,"['10236', '4943', '7042', '8146', '8148', '8150', '8151']","[np.float64(3.5), np.float64(26.72), np.float64(5.0), np.float64(22.8), np.float64(7.2), np.float64(24.4), np.float64(18.9)]",2,4,splangtree,124.86,101.66,1.0,5.0,133.4,120.80000000000001,1.0,124.86,1.0,5.0,133.4,120.80000000000001,1.0,0.0
1,2,2,111.24,0.792,88.07,81.99,108.52000000000001,W,3,8.0,11,0.727,4,"['11539', '11579', '1373', '4199', '7049', '8112', '9484']","[np.float64(2.0), np.float64(26.5), np.float64(25.14), np.float64(15.7), np.float64(18.8), np.float64(18.9), np.float64(4.2)]",2,4,DanCoulton,101.66,124.86,0.0,2.0,120.80000000000001,133.4,0.0,101.66,0.0,2.0,120.80000000000001,133.4,0.0,0.0
1,2,2,129.88,0.727,94.38,81.38,94.06,W,9,10.0,11,0.909,5,"['11566', '11635', '3451', '5844', '6813', '8137', '9221']","[np.float64(31.48), np.float64(17.0), np.float64(8.0), np.float64(13.5), np.float64(27.6), np.float64(19.1), np.float64(13.2)]",2,6,Tomcoulton10,80.56,127.1,0.0,0.0,105.16,142.9,0.0,80.56,0.0,0.0,105.16,142.9,0.0,0.0
1,2,2,97.9,0.835,81.76,86.39,113.1,L,8,4.0,11,0.364,6,"['11604', '11643', '5872', '8134', '9226', '9229']","[np.float64(8.0), np.float64(14.4), np.float64(20.0), np.float64(19.8), np.float64(18.8), np.float64(16.9)]",2,5,0llie,147.54,115.84,1.0,10.0,151.03999999999996,127.18,1.0,147.54,1.0,10.0,151.03999999999996,127.18,1.0,0.0
1,2,1,78.76,0.801,63.07,102.27,126.1,L,1,0.0,11,0.0,7,"['11058', '4033', '7547', '8138', '8139', '9493', '9758']","[np.float64(9.0), np.float64(10.6), np.float64(7.8), np.float64(4.4), np.float64(14.3), np.float64(7.9), np.float64(24.76)]",2,3,Pindeco,137.7,139.74,0.0,7.0,140.9,140.94,0.0,137.7,0.0,7.0,140.9,140.94,0.0,0.0
1,2,2,113.1,0.764,86.39,81.76,97.9,W,6,7.0,11,0.636,8,"['1166', '1466', '6650', '6806', '7525', '7564', '8155']","[np.float64(27.9), np.float64(1.9), np.float64(6.0), np.float64(7.7), np.float64(11.0), np.float64(44.8), np.float64(13.8)]",2,5,JoeWright,115.84,147.54,0.0,4.0,127.18,151.03999999999996,0.0,115.84,0.0,4.0,127.18,151.03999999999996,0.0,0.0
1,2,2,94.06,0.865,81.38,94.38,129.88,L,5,3.0,11,0.273,9,"['11632', '11638', '1264', '1339', '4866', '4984', '8154']","[np.float64(14.0), np.float64(14.6), np.float64(4.0), np.float64(11.5), np.float64(8.9), np.float64(35.86), np.float64(5.2)]",2,6,hyperpringle,127.1,80.56,1.0,6.0,142.9,105.16,1.0,127.1,1.0,6.0,142.9,105.16,1.0,0.0
1,2,1,100.38,0.798,80.1,79.5,102.2,W,11,2.0,11,0.182,10,"['11626', '3214', '5045', '6770', '6790', '8228', '8259']","[np.float64(11.7), np.float64(11.3), np.float64(20.5), np.float64(31.78), np.float64(8.6), np.float64(9.5), np.float64(7.0)]",2,2,msouthwell,86.98,102.0,0.0,1.0,103.34,111.24,0.0,86.98,0.0,1.0,103.34,111.24,0.0,0.0
1,2,1,102.2,0.778,79.5,80.1,100.38,L,10,1.0,11,0.091,11,"['11620', '4892', '5022', '6794', '7611', '8143']","[np.float64(20.7), np.float64(19.8), np.float64(11.4), np.float64(24.8), np.float64(11.0), np.float64(14.5)]",2,2,LannySenior,102.0,86.98,1.0,3.0,111.24,103.34,1.0,102.0,1.0,3.0,111.24,103.34,1.0,0.0
1,2,1,107.44,0.775,83.24,90.93,103.02000000000001,L,2,6.0,11,0.545,12,"['4663', '4983', '5967', '6783', '6826', '7523', '7839']","[np.float64(14.8), np.float64(10.6), np.float64(12.4), np.float64(13.8), np.float64(14.5), np.float64(28.34), np.float64(13.0)]",2,1,jhh82,137.82,160.32,0.0,8.0,149.12,172.32,0.0,137.82,0.0,8.0,149.12,172.32,0.0,0.0
1,3,1,96.02,0.777,74.6,84.59,103.32,L,8,4.0,11,0.364,1,"['10229', '11565', '1945', '3198', '4217', '5927', '9224']","[np.float64(8.4), np.float64(22.22), np.float64(10.0), np.float64(6.4), np.float64(18.0), np.float64(8.0), np.float64(23.0)]",3,3,benturvill61,126.94,103.04,1.0,10.0,152.14000000000001,111.93999999999998,1.0,126.94,1.0,10.0,152.14000000000001,111.93999999999998,1.0,0.0
1,3,1,82.48,0.781,64.42,80.35,101.25999999999999,L,3,1.0,11,0.091,2,"['2133', '4035', '4046', '4195', '7600', '8408', '9488']","[np.float64(11.8), np.float64(15.5), np.float64(20.68), np.float64(17.0), np.float64(2.9), np.float64(6.7), np.float64(7.9)]",3,5,mikepearson,113.53999999999999,115.26,0.0,5.0,139.94,167.86,0.0,113.53999999999999,0.0,5.0,139.94,167.86,0.0,0.0
1,3,2,101.26,0.794,80.35,64.42,82.48000000000002,W,2,6.0,11,0.545,3,"['10236', '4137', '7042', '8121', '8148', '8151', '8183']","[np.float64(4.6), np.float64(12.4), np.float64(6.0), np.float64(17.1), np.float64(11.7), np.float64(20.4), np.float64(29.06)]",3,5,splangtree,115.26,113.53999999999999,1.0,7.0,167.86,139.94,1.0,115.26,1.0,7.0,167.86,139.94,1.0,0.0
1,3,2,91.38,0.755,69.03,73.22,100.94,L,12,2.0,11,0.182,4,"['11539', '11631', '4199', '5937', '6904', '7528', '9484']","[np.float64(9.0), np.float64(15.4), np.float64(4.8), np.float64(11.5), np.float64(30.78), np.float64(8.4), np.float64(11.5)]",3,6,DanCoulton,115.6,92.6,1.0,8.0,136.3,112.30000000000001,1.0,115.6,1.0,8.0,136.3,112.30000000000001,1.0,0.0
1,3,2,120.46,0.725,87.34,92.08,119.02,L,7,8.0,11,0.727,5,"['10859', '11566', '3451', '7526', '7594', '8137', '9221']","[np.float64(30.6), np.float64(19.16), np.float64(5.0), np.float64(15.6), np.float64(4.1), np.float64(15.4), np.float64(30.6)]",3,1,Tomcoulton10,123.52,108.98,1.0,9.0,159.62,137.00000000000003,1.0,123.52,1.0,9.0,159.62,137.00000000000003,1.0,0.0
1,3,2,110.04,0.795,87.46,77.24,95.26,W,10,9.0,11,0.818,6,"['11604', '4034', '5846', '6801', '8132', '9229']","[np.float64(12.8), np.float64(21.6), np.float64(17.5), np.float64(21.2), np.float64(18.6), np.float64(18.34)]",3,2,0llie,113.78,84.88,1.0,6.0,125.17999999999999,99.59999999999998,1.0,113.78,1.0,6.0,125.17999999999999,99.59999999999998,1.0,0.0
