season,week,division,optimal_score,lineup_efficiency,team_score,opponent_score,optimal_opponent_score,result,opponent_id,allplay_wins,allplay_games,allplay_pct,roster_id,optimal_player_id,optimal_player_score,gameweek,matchup_id,manager,points,points_opponent,win,all_play,pp_points,pp_points_opponent,pp_win,selected_pts,selected_win,selected_all_play,selected_pp,selected_pp_opponent,selected_pp_win,nxt_wk_win
1,2,1,129.86,0.686,89.07,74.34,100.42,W,1,5.0,11,0.455,3,"['10229', '11563', '4035', '4144', '5119', '7496', '8139']","[np.float64(20.7), np.float64(24.96), np.float64(24.3), np.float64(15.4), np.float64(6.0), np.float64(24.3), np.float64(14.2)]",2,2,benturvill61,131.38,150.54,0.0,9.0,133.98000000000002,184.94,0.0,131.38,0.0,9.0,133.98000000000002,184.94,0.0,0.0
1,2,1,115.24,0.642,74.03,92.54,113.8,L,11,1.0,11,0.091,4,"['11564', '4981', '6826', '7021', '8112', '9509']","[np.float64(27.32), np.float64(21.8), np.float64(8.22), np.float64(15.3), np.float64(24.2), np.float64(18.4)]",2,4,calumedwards,143.72,113.75999999999999,1.0,10.0,148.92000000000002,150.24,0.0,143.72,1.0,10.0,148.92000000000002,150.24,0.0,0.0
1,2,1,113.44,0.836,94.79,100.05,125.94000000000001,L,2,8.0,11,0.727,5,"['1433', '4217', '4984', '5850', '6801', '8119', '9757']","[np.float64(3.0), np.float64(10.9), np.float64(27.54), np.float64(23.8), np.float64(17.1), np.float64(14.4), np.float64(16.7)]",2,5,0llie,121.26,105.7,1.0,8.0,154.39999999999998,137.7,1.0,121.26,1.0,8.0,154.39999999999998,137.7,1.0,0.0
1,2,1,93.4,0.828,77.3,64.28,84.08000000000001,W,10,4.0,11,0.364,6,"['10871', '11655', '1373', '2449', '4195', '5967', '6786']","[np.float64(8.2), np.float64(17.6), np.float64(13.1), np.float64(5.6), np.float64(5.0), np.float64(13.9), np.float64(30.0)]",2,6,jhh82,69.25999999999999,99.34,0.0,0.0,80.17999999999999,108.62,0.0,69.25999999999999,0.0,0.0,80.17999999999999,108.62,0.0,0.0
1,2,1,125.16,0.898,112.45,100.29,131.6,W,9,11.0,11,1.0,7,"['11584', '6650', '6904', '7569', '8130', '9493', '9753']","[np.float64(7.3), np.float64(3.0), np.float64(39.66), np.float64(18.7), np.float64(20.7), np.float64(23.5), np.float64(12.3)]",2,3,JoeWright,109.62,107.64,1.0,6.0,119.22000000000001,131.1,0.0,109.62,1.0,6.0,119.22000000000001,131.1,0.0,0.0
1,2,1,119.2,0.77,91.79,76.11,97.46000000000001,W,12,6.0,11,0.545,8,"['11539', '11565', '1689', '4199', '4993', '5185', '9225']","[np.float64(3.0), np.float64(27.8), np.float64(13.9), np.float64(45.3), np.float64(7.1), np.float64(14.2), np.float64(7.9)]",2,1,Pindeco,83.2,91.82,0.0,1.0,92.68,114.72,0.0,83.2,0.0,1.0,92.68,114.72,0.0,0.0
1,2,1,131.6,0.762,100.29,112.45,125.16,L,7,10.0,11,0.909,9,"['11579', '1945', '3321', '4046', '7600', '8205', '9488']","[np.float64(13.6), np.float64(10.0), np.float64(24.5), np.float64(26.7), np.float64(6.4), np.float64(29.3), np.float64(21.1)]",2,3,mikepearson,107.64,109.62,0.0,5.0,131.1,119.22000000000001,1.0,107.64,0.0,5.0,131.1,119.22000000000001,1.0,0.0
1,2,1,84.08,0.765,64.28,77.3,93.4,L,6,0.0,11,0.0,10,"['10937', '11628', '5870', '8136', '8151', '9484', '9756']","[np.float64(3.0), np.float64(17.8), np.float64(18.58), np.float64(10.7), np.float64(10.0), np.float64(6.9), np.float64(17.1)]",2,6,msouthwell,99.34,69.25999999999999,1.0,3.0,108.62,80.17999999999999,1.0,99.34,1.0,3.0,108.62,80.17999999999999,1.0,0.0
1,2,1,113.8,0.813,92.54,74.03,115.24000000000001,W,4,7.0,11,0.636,11,"['11600', '11792', '6783', '7525', '8155', '8183', '9221']","[np.float64(15.2), np.float64(10.0), np.float64(21.9), np.float64(21.5), np.float64(12.0), np.float64(21.2), np.float64(12.0)]",2,4,Tomcoulton10,113.75999999999999,143.72,0.0,7.0,150.24,148.92000000000002,1.0,113.75999999999999,0.0,7.0,150.24,148.92000000000002,1.0,0.0
1,2,1,97.46,0.781,76.11,91.79,119.2,L,8,3.0,11,0.273,12,"['10236', '11582', '1264', '2216', '4866', '5849', '5927']","[np.float64(7.9), np.float64(4.8), np.float64(6.0), np.float64(28.1), np.float64(26.2), np.float64(11.06), np.float64(13.4)]",2,1,hyperpringle,91.82,83.2,1.0,2.0,114.72,92.68,1.0,91.82,1.0,2.0,114.72,92.68,1.0,0.0
1,3,1,99.18,0.731,72.53,80.33,100.14,L,12,2.0,11,0.182,1,"['11604', '11625', '11631', '1166', '1348', '9226', '9508']","[np.float64(11.5), np.float64(27.9), np.float64(14.5), np.float64(20.48), np.float64(11.0), np.float64(7.5), np.float64(6.3)]",3,2,DanCoulton,76.67999999999999,160.76,0.0,2.0,110.67999999999999,185.56,0.0,76.67999999999999,0.0,2.0,110.67999999999999,185.56,0.0,0.0
1,3,1,126.38,0.766,96.86,74.3,109.96000000000001,W,10,9.0,11,0.818,2,"['11533', '11596', '11624', '11643', '6797', '7596', '8138']","[np.float64(12.0), np.float64(14.6), np.float64(24.5), np.float64(15.0), np.float64(19.88), np.float64(24.1), np.float64(16.3)]",3,5,TenAndJerry,121.42,160.16,0.0,7.0,153.62,164.36,0.0,121.42,0.0,7.0,153.62,164.36,0.0,0.0
1,3,1,100.24,0.792,79.39,91.54,113.42000000000002,L,8,4.0,11,0.364,3,"['10213', '10229', '11586', '4035', '4881', '5119', '8219']","[np.float64(12.5), np.float64(10.3), np.float64(17.0), np.float64(12.5), np.float64(33.84), np.float64(11.0), np.float64(3.1)]",3,1,benturvill61,122.58,107.06,1.0,8.0,157.68000000000004,153.05999999999997,1.0,122.58,1.0,8.0,157.68000000000004,153.05999999999997,1.0,0.0
1,3,1,84.44,0.76,64.19,100.29,130.88,L,9,1.0,11,0.091,4,"['11564', '11632', '11651', '4066', '7021', '7547']","[np.float64(8.54), np.float64(14.0), np.float64(23.7), np.float64(8.7), np.float64(14.4), np.float64(15.1)]",3,3,calumedwards,119.47999999999999,88.58,1.0,6.0,155.98,126.18,1.0,119.47999999999999,1.0,6.0,155.98,126.18,1.0,0.0
