season,manager,roster_id,h2h_wins,points_for,league
10,Jonnydubz,8,9.0,1682.21,House of Hard Knocks
10,MajorNC,2,10.0,1681.08,House of Hard Knocks
10,Pindeco,7,8.0,1641.15,House of Hard Knocks
10,Tomcoulton10,3,10.0,1686.99,House of Hard Knocks
10,calumedwards,5,2.0,1442.69,House of Hard Knocks
10,hyperpringle,6,6.0,1578.08,House of Hard Knocks
10,splangtree,9,9.0,1640.76,House of Hard Knocks
11,0llie,4,9.0,1553.6399999999999,House of Hard Knocks
11,DanCoulton,1,7.0,1627.93,House of Hard Knocks
11,JoeWright,10,7.0,1481.3,House of Hard Knocks
11,Jonnydubz,8,8.0,1706.25,House of Hard Knocks
11,MajorNC,2,9.0,1648.24,House of Hard Knocks
11,Pindeco,7,6.0,1616.01,House of Hard Knocks
11,Tomcoulton10,3,7.0,1668.8,House of Hard Knocks
11,calumedwards,5,6.0,1566.8700000000001,House of Hard Knocks
11,hyperpringle,6,7.0,1543.5,House of Hard Knocks
11,splangtree,9,9.0,1701.49,House of Hard Knocks
12,0llie,4,3.0,1361.33,House of Hard Knocks
12,DanCoulton,1,9.0,1764.1799999999998,House of Hard Knocks
12,JoeWright,10,7.0,1530.05,House of Hard Knocks
12,Jonnydubz,8,8.0,1666.42,House of Hard Knocks
12,MajorNC,2,6.0,1601.56,House of Hard Knocks
12,Pindeco,7,6.0,1640.7,House of Hard Knocks
12,Tomcoulton10,3,12.0,1721.53,House of Hard Knocks
12,calumedwards,5,4.0,1577.96,House of Hard Knocks
12,hyperpringle,6,7.0,1621.73,House of Hard Knocks
12,splangtree,9,13.0,1694.0,House of Hard Knocks
13,0llie,4,10.0,1459.21,House of Hard Knocks
13,DanCoulton,1,9.0,1660.95,House of Hard Knocks
13,JoeWright,10,4.0,1485.1100000000001,House of Hard Knocks
13,Jonnydubz,8,6.0,1674.9,House of Hard Knocks
13,MajorNC,2,9.0,1683.28,House of Hard Knocks
13,Pindeco,7,7.0,1602.4,House of Hard Knocks
13,Tomcoulton10,3,10.0,1710.52,House of Hard Knocks
13,calumedwards,5,5.0,1577.07,House of Hard Knocks
13,hyperpringle,6,6.0,1572.4,House of Hard Knocks
13,splangtree,9,9.0,1629.81,House of Hard Knocks
14,0llie,4,8.0,1458.57,House of Hard Knocks
14,DanCoulton,1,10.0,1661.32,House of Hard Knocks
14,JoeWright,10,5.0,1467.78,House of Hard Knocks
14,Jonnydubz,8,9.0,1564.64,House of Hard Knocks
14,MajorNC,2,6.0,1605.96,House of Hard Knocks
14,Pindeco,7,8.0,1681.3799999999999,House of Hard Knocks
14,Tomcoulton10,3,10.0,1640.1,House of Hard Knocks
14,calumedwards,5,2.0,1370.1,House of Hard Knocks
14,hyperpringle,6,7.0,1588.21,House of Hard Knocks
14,splangtree,9,10.0,1654.6100000000001,House of Hard Knocks
15,0llie,4,6.0,1465.97,House of Hard Knocks
15,DanCoulton,1,7.0,1635.84,House of Hard Knocks
15,JoeWright,10,3.0,1524.93,House of Hard Knocks
15,Jonnydubz,8,11.0,1742.56,House of Hard Knocks
15,MajorNC,2,8.0,1677.8600000000001,House of Hard Knocks
15,Pindeco,7,8.0,1747.05,House of Hard Knocks
15,Tomcoulton10,3,8.0,1741.15,House of Hard Knocks
15,calumedwards,5,7.0,1573.21,House of Hard Knocks
15,hyperpringle,6,8.0,1669.65,House of Hard Knocks
15,splangtree,9,9.0,1551.02,House of Hard Knocks
16,0llie,4,7.0,1573.79,House of Hard Knocks
16,DanCoulton,1,5.0,1531.04,House of Hard Knocks
16,JoeWright,10,6.0,1546.14,House of Hard Knocks
16,Jonnydubz,8,9.0,1676.35,House of Hard Knocks
16,MajorNC,2,5.0,1603.76,House of Hard Knocks
16,Pindeco,7,11.0,1691.55,House of Hard Knocks
16,Tomcoulton10,3,10.0,1758.53,House of Hard Knocks
16,calumedwards,5,5.0,1630.77,House of Hard Knocks
16,hyperpringle,6,10.0,1592.33,House of Hard Knocks
16,splangtree,9,7.0,1648.22,House of Hard Knocks
17,0llie,4,9.0,1508.61,House of Hard Knocks
17,DanCoulton,1,12.0,1720.66,House of Hard Knocks
17,JoeWright,10,5.0,1527.19,House of Hard Knocks
17,Jonnydubz,8,10.0,1805.74,House of Hard Knocks
17,MajorNC,2,6.0,1552.76,House of Hard Knocks
17,Pindeco,7,5.0,1603.0,House of Hard Knocks
17,Tomcoulton10,3,9.0,1670.89,House of Hard Knocks
17,calumedwards,5,5.0,1592.93,House of Hard Knocks
17,hyperpringle,6,9.0,1712.93,House of Hard Knocks
17,splangtree,9,5.0,1607.65,House of Hard Knocks
18,0llie,4,6.0,1561.7,House of Hard Knocks
18,DanCoulton,1,7.0,1583.26,House of Hard Knocks
18,JoeWright,10,9.0,1634.42,House of Hard Knocks
18,Jonnydubz,8,6.0,1553.71,House of Hard Knocks
18,MajorNC,2,9.0,1636.66,House of Hard Knocks
18,Pindeco,7,7.0,1621.31,House of Hard Knocks
18,Tomcoulton10,3,8.0,1681.95,House of Hard Knocks
18,calumedwards,5,6.0,1594.89,House of Hard Knocks
18,hyperpringle,6,6.0,1564.73,House of Hard Knocks
18,splangtree,9,11.0,1688.77,House of Hard Knocks
19,0llie,4,9.0,1625.27,House of Hard Knocks
19,DanCoulton,1,7.0,1625.5900000000001,House of Hard Knocks
19,JoeWright,10,6.0,1560.68,House of Hard Knocks
19,Jonnydubz,8,7.0,1745.85,House of Hard Knocks
19,MajorNC,2,9.0,1695.38,House of Hard Knocks
19,Pindeco,7,5.0,1573.16,House of Hard Knocks
19,Tomcoulton10,3,8.0,1704.83,House of Hard Knocks
19,calumedwards,5,5.0,1503.32,House of Hard Knocks
19,hyperpringle,6,8.0,1651.42,House of Hard Knocks
19,splangtree,9,11.0,1788.8,House of Hard Knocks
20,0llie,4,10.0,1646.54,House of Hard Knocks
20,DanCoulton,1,8.0,1664.61,House of Hard Knocks
20,JoeWright,10,6.0,1587.36,House of Hard Knocks
20,Jonnydubz,8,6.0,1578.85,House of Hard Knocks
20,MajorNC,2,8.0,1605.85,House of Hard Knocks
20,Pindeco,7,9.0,1661.48,House of Hard Knocks
20,Tomcoulton10,3,8.0,1639.26,House of Hard Knocks
20,calumedwards,5,4.0,1554.79,House of Hard Knocks
20,hyperpringle,6,6.0,1570.3799999999999,House of Hard Knocks
20,splangtree,9,10.0,1687.57,House of Hard Knocks
21,0llie,4,9.0,1577.96,House of Hard Knocks
21,DanCoulton,1,7.0,1534.92,House of Hard Knocks
21,JoeWright,10,6.0,1577.35,House of Hard Knocks
21,Jonnydubz,8,9.0,1662.09,House of Hard Knocks
21,MajorNC,2,4.0,1552.7,House of Hard Knocks
21,Pindeco,7,6.0,1648.21,House of Hard Knocks
21,Tomcoulton10,3,7.0,1642.45,House of Hard Knocks
21,calumedwards,5,10.0,1689.75,House of Hard Knocks
21,hyperpringle,6,7.0,1666.75,House of Hard Knocks
21,splangtree,9,10.0,1673.19,House of Hard Knocks
22,0llie,4,10.0,1594.81,House of Hard Knocks
22,DanCoulton,1,6.0,1536.46,House of Hard Knocks
22,JoeWright,10,8.0,1630.0,House of Hard Knocks
22,Jonnydubz,8,8.0,1671.1299999999999,House of Hard Knocks
22,MajorNC,2,9.0,1815.64,House of Hard Knocks
22,Pindeco,7,5.0,1561.49,House of Hard Knocks
22,Tomcoulton10,3,10.0,1689.75,House of Hard Knocks
22,calumedwards,5,5.0,1586.96,House of Hard Knocks
22,hyperpringle,6,6.0,1625.72,House of Hard Knocks
22,splangtree,9,8.0,1636.51,House of Hard Knocks
23,0llie,4,7.0,1644.04,House of Hard Knocks
23,DanCoulton,1,11.0,1688.97,House of Hard Knocks
23,JoeWright,10,9.0,1625.21,House of Hard Knocks
23,Jonnydubz,8,6.0,1690.04,House of Hard Knocks
23,MajorNC,2,11.0,1671.5,House of Hard Knocks
23,Pindeco,7,7.0,1588.1399999999999,House of Hard Knocks
23,Tomcoulton10,3,7.0,1686.8400000000001,House of Hard Knocks
23,calumedwards,5,5.0,1581.76,House of Hard Knocks
23,hyperpringle,6,6.0,1661.84,House of Hard Knocks
23,splangtree,9,6.0,1651.67,House of Hard Knocks
24,0llie,4,11.0,1711.56,House of Hard Knocks
24,DanCoulton,1,6.0,1674.55,House of Hard Knocks
24,JoeWright,10,6.0,1641.48,House of Hard Knocks
24,Jonnydubz,8,7.0,1674.69,House of Hard Knocks
24,MajorNC,2,11.0,1761.66,House of Hard Knocks
24,Pindeco,7,8.0,1653.23,House of Hard Knocks
24,Tomcoulton10,3,10.0,1801.35,House of Hard Knocks
24,calumedwards,5,4.0,1507.28,House of Hard Knocks
24,hyperpringle,6,6.0,1587.06,House of Hard Knocks
24,splangtree,9,6.0,1649.52,House of Hard Knocks
25,0llie,4,7.0,1657.28,House of Hard Knocks
25,DanCoulton,1,7.0,1619.39,House of Hard Knocks
25,JoeWright,10,6.0,1560.0900000000001,House of Hard Knocks
25,Jonnydubz,8,10.0,1624.99,House of Hard Knocks
25,MajorNC,2,9.0,1654.66,House of Hard Knocks
25,Pindeco,7,5.0,1628.96,House of Hard Knocks
25,Tomcoulton10,3,12.0,1721.04,House of Hard Knocks
25,calumedwards,5,4.0,1534.49,House of Hard Knocks
25,hyperpringle,6,8.0,1567.22,House of Hard Knocks
25,splangtree,9,7.0,1700.16,House of Hard Knocks
26,0llie,4,6.0,1432.14,House of Hard Knocks
26,DanCoulton,1,9.0,1747.56,House of Hard Knocks
26,JoeWright,10,6.0,1588.49,House of Hard Knocks
26,Jonnydubz,8,7.0,1577.61,House of Hard Knocks
26,MajorNC,2,8.0,1604.3,House of Hard Knocks
26,Pindeco,7,8.0,1692.65,House of Hard Knocks
26,Tomcoulton10,3,8.0,1701.3,House of Hard Knocks
26,calumedwards,5,9.0,1692.26,House of Hard Knocks
26,hyperpringle,6,5.0,1643.83,House of Hard Knocks
26,splangtree,9,9.0,1616.58,House of Hard Knocks
27,0llie,4,7.0,1581.99,House of Hard Knocks
27,DanCoulton,1,12.0,1812.24,House of Hard Knocks
27,JoeWright,10,4.0,1446.32,House of Hard Knocks
27,Jonnydubz,8,8.0,1659.48,House of Hard Knocks
27,MajorNC,2,6.0,1708.86,House of Hard Knocks
27,Pindeco,7,5.0,1612.25,House of Hard Knocks
27,Tomcoulton10,3,7.0,1611.34,House of Hard Knocks
27,calumedwards,5,7.0,1539.14,House of Hard Knocks
27,hyperpringle,6,7.0,1624.97,House of Hard Knocks
27,splangtree,9,12.0,1691.93,House of Hard Knocks
28,0llie,4,9.0,1582.09,House of Hard Knocks
28,DanCoulton,1,9.0,1612.82,House of Hard Knocks
28,JoeWright,10,6.0,1671.19,House of Hard Knocks
28,Jonnydubz,8,9.0,1612.97,House of Hard Knocks
28,MajorNC,2,8.0,1616.3999999999999,House of Hard Knocks
28,Pindeco,7,9.0,1725.47,House of Hard Knocks
28,Tomcoulton10,3,9.0,1643.57,House of Hard Knocks
28,calumedwards,5,2.0,1505.89,House of Hard Knocks
28,hyperpringle,6,6.0,1519.29,House of Hard Knocks
28,splangtree,9,8.0,1563.81,House of Hard Knocks
29,0llie,4,7.0,1580.47,House of Hard Knocks
29,DanCoulton,1,6.0,1628.3799999999999,House of Hard Knocks
29,JoeWright,10,4.0,1440.58,House of Hard Knocks
29,Jonnydubz,8,7.0,1578.76,House of Hard Knocks
29,MajorNC,2,7.0,1723.97,House of Hard Knocks
29,Pindeco,7,9.0,1678.59,House of Hard Knocks
