gameweek,roster_id,pp_points,points,manager,matchup_id,opponent_id,pp_points_opponent,points_opponent,pp_win,win,all_play,league
5,8,134.1,120.54,Jonnydubz,5,3,190.27999999999997,189.88,0.0,0.0,1.0,House of Hard Knocks
5,9,161.2,160.3,splangtree,1,4,151.51999999999998,141.5,1.0,1.0,6.0,House of Hard Knocks
5,10,167.14,154.44,JoeWright,2,6,168.84,161.14000000000001,0.0,0.0,4.0,House of Hard Knocks
6,1,143.86,139.72,DanCoulton,3,5,117.26,115.36,1.0,1.0,7.0,House of Hard Knocks
6,2,148.56,137.56,MajorNC,4,9,138.08,131.3,1.0,1.0,6.0,House of Hard Knocks
6,3,191.88000000000002,184.57999999999998,Tomcoulton10,1,4,107.69999999999999,104.8,1.0,1.0,9.0,House of Hard Knocks
6,4,107.69999999999999,104.8,0llie,1,3,191.88000000000002,184.57999999999998,0.0,0.0,0.0,House of Hard Knocks
6,5,117.26,115.36,calumedwards,3,1,143.86,139.72,0.0,0.0,1.0,House of Hard Knocks
6,6,202.77999999999997,184.08,hyperpringle,2,7,128.24,115.74,1.0,1.0,8.0,House of Hard Knocks
6,7,128.24,115.74,Pindeco,2,6,202.77999999999997,184.08,0.0,0.0,2.0,House of Hard Knocks
6,8,171.14000000000001,123.98,Jonnydubz,5,10,142.67999999999998,128.57999999999998,1.0,0.0,3.0,House of Hard Knocks
6,9,138.08,131.3,splangtree,4,2,148.56,137.56,0.0,0.0,5.0,House of Hard Knocks
6,10,142.67999999999998,128.57999999999998,JoeWright,5,8,171.14000000000001,123.98,0.0,1.0,4.0,House of Hard Knocks
7,1,162.74,128.48,DanCoulton,2,6,204.14000000000004,184.1,0.0,0.0,2.0,House of Hard Knocks
7,2,183.06000000000003,158.4,MajorNC,4,10,152.58,149.88,1.0,1.0,6.0,House of Hard Knocks
7,3,147.9,132.94,Tomcoulton10,5,9,195.44,166.9,0.0,0.0,4.0,House of Hard Knocks
7,4,225.94000000000005,211.44,0llie,1,7,55.86000000000001,39.06,1.0,1.0,9.0,House of Hard Knocks
7,5,146.66,128.35999999999999,calumedwards,3,8,154.6,131.6,0.0,0.0,1.0,House of Hard Knocks
7,6,204.14000000000004,184.1,hyperpringle,2,1,162.74,128.48,1.0,1.0,8.0,House of Hard Knocks
7,7,55.86000000000001,39.06,Pindeco,1,4,225.94000000000005,211.44,0.0,0.0,0.0,House of Hard Knocks
7,8,154.6,131.6,Jonnydubz,3,5,146.66,128.35999999999999,1.0,1.0,3.0,House of Hard Knocks
7,9,195.44,166.9,splangtree,5,3,147.9,132.94,1.0,1.0,7.0,House of Hard Knocks
7,10,152.58,149.88,JoeWright,4,2,183.06000000000003,158.4,0.0,0.0,5.0,House of Hard Knocks
